url,status,final_url,locale,title,h1,canonical,robots,x_robots_tag,content_sha256,visible_text_sha256,content_bytes,visible_text_chars,seconds,truncated,error,source_ids,canonical_duplicate_group,exact_text_duplicate_group,canonical_recommendation,canonical_recommendation_evidence,decision
https://psitrends.com/index.php?id=100&option=com_quix&view=page,200,https://psitrends.com/index.php?id=100&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,"[""Курс Сила Планет""]",[],[],,42ee12f38cc122bc4cd0a7b185165f3d582cbc1fad7275f0bde5cb94fe35f121,19b4713dfe2349c081b48e0579331fd151a5232cfa70b3c517ea5881b154ddfb,69795,2884,0.717,False,,"[{""type"": ""quix"", ""id"": ""100"", ""language"": ""ru-RU""}, {""type"": ""menu_exact"", ""id"": ""293"", ""language"": ""ru-RU""}]",,,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=101&option=com_quix&view=page,200,https://psitrends.com/index.php?id=101&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,"[""Медитации Силы и Защиты""]",[],[],,6c398582f2553208d14ac79ef3591bfd77545f0b047f9eb581ccaffbc6088ea7,f122004c429d7ce826186e3a48e213d5df094ec6fa17b14d096ce8d17ef55738,64164,2712,0.684,False,,"[{""type"": ""quix"", ""id"": ""101"", ""language"": ""ru-RU""}, {""type"": ""menu_exact"", ""id"": ""294"", ""language"": ""ru-RU""}]",,,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=102&option=com_quix&view=page,200,https://psitrends.com/index.php?id=102&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,"[""Архетипы Майя""]",[],[],,04fe47f0979f39da63a8cb250cf3b44ee9a21baa980892339961b46a3c8c5061,f3a8fe24e432da36e68e3fbffb3d22fffd392ca9bda7bcb15efcbfbcd076ddbe,59961,2724,0.662,False,,"[{""type"": ""quix"", ""id"": ""102"", ""language"": ""ru-RU""}, {""type"": ""menu_exact"", ""id"": ""295"", ""language"": ""ru-RU""}]",,,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=103&option=com_quix&view=page,200,https://psitrends.com/index.php?id=103&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,"[""Курс Жречество Египта. Осирис""]",[],[],,e4a9618af495807850bb9ad2aa778954b7320ad45d6daa45b18a66d8c7c694a9,815672ca65e1f0184e2f4b0835832151313a2d3f0bb78dc574efb4cb16183ff0,64549,2923,0.679,False,,"[{""type"": ""quix"", ""id"": ""103"", ""language"": ""ru-RU""}, {""type"": ""menu_exact"", ""id"": ""296"", ""language"": ""ru-RU""}]",,,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=104&option=com_quix&view=page,200,https://psitrends.com/index.php?id=104&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,"[""Курс Мистерии Диониса""]",[],[],,9c4b1a8ec9b8337391deba60fd725c83775131e6d35fa42be49c2ebd5d6d5cd3,820dac60be8ff25de9b53ccca0bfd0a8659a38d0a1c1f5f4e56f4bc6f15fd9f6,64504,2904,0.649,False,,"[{""type"": ""quix"", ""id"": ""104"", ""language"": ""ru-RU""}, {""type"": ""menu_exact"", ""id"": ""297"", ""language"": ""ru-RU""}]",,,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=105&option=com_quix&view=page,200,https://psitrends.com/index.php?id=105&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,[],[],[],,044bf03805565eae184c82051eb62c25cea38f066e99c99d58ce66215a1bdb77,d260fcbda74f9c8648adf3b0991ce500730c7c91ee9bd34682cf3d1205f3cc64,252395,5375,1.027,False,,"[{""type"": ""quix"", ""id"": ""105"", ""language"": ""ru-RU""}]",,,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=107&option=com_quix&view=page,200,https://psitrends.com/index.php?id=107&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,[],[],[],,8036dc2a94091ebe186988bf8b6fd97e59f97525bba3dff16667c58cba49992b,7b06e27c0419d1e64863b533cb04e8009cb1e36bdb207047aacae4d5c1cfaa9a,165790,4790,0.86,False,,"[{""type"": ""quix"", ""id"": ""107"", ""language"": ""ru-RU""}]",,,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=108&option=com_quix&view=page,200,https://psitrends.com/index.php?id=108&option=com_quix&view=page,en-gb,About us - Academy Of Temple Arts,"[""Meditations of the Sun""]",[],[],,83e432dd02372e95f6225e40004e02b0f529d759a9a58ff9ee89c75482507d57,a2cbb9f67e2dd18eea719a8c457410fbaeee3307e53990b8a0c1927fb15df68b,51501,3436,0.671,False,,"[{""type"": ""quix"", ""id"": ""108"", ""language"": ""en-GB""}, {""type"": ""menu_exact"", ""id"": ""307"", ""language"": ""en-GB""}]",,a2cbb9f67e2dd18eea719a8c457410fbaeee3307e53990b8a0c1927fb15df68b,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=109&option=com_quix&view=page,200,https://psitrends.com/index.php?id=109&option=com_quix&view=page,en-gb,About us - Academy Of Temple Arts,"[""Books""]",[],[],,39b9b514c78708315daeefd233bb4a58d1fa5a849596abb00a0d37c8a020ce3a,3892c5cc9f8af496a3358070954cc2b4a2a7d3695d2159beed134b73f7efe10f,53053,2862,0.697,False,,"[{""type"": ""quix"", ""id"": ""109"", ""language"": ""en-GB""}, {""type"": ""menu_exact"", ""id"": ""308"", ""language"": ""en-GB""}]",,3892c5cc9f8af496a3358070954cc2b4a2a7d3695d2159beed134b73f7efe10f,,,REVIEW_NEEDED
https://psitrends.com/index.php?id=110&option=com_quix&view=page,200,https://psitrends.com/index.php?id=110&option=com_quix&view=page,en-gb,Аcademy of archetypal consulting,"[""Birth Star""]",[],[],,2d5c527eaee4e68cd588cb60d89058b5498d709f3f6971071ce25e7429444726,4bbccd5476cf9d1093e3c87bbb78d33e012416ae0342190fa1b90ce603704fc4,85603,7134,0.732,False,,"[{""type"": ""quix"", ""id"": ""110"", ""language"": ""en-GB""}]",,,,,REVIEW_NEEDED
