extension_id,name,type,element,folder,client_id,enabled,protected,version
217,plg_workflow_publishing,plugin,publishing,workflow,0,1,0,4.0.0
218,atum,template,atum,,1,1,0,1.0
219,cassiopeia,template,cassiopeia,,0,1,0,1.0
220,files_joomla,file,joomla,,0,1,1,4.4.0
221,English (en-GB) Language Pack,package,pkg_en-GB,,0,1,1,4.4.0.1
222,English (en-GB),language,en-GB,,0,1,1,4.4.0
223,English (en-GB),language,en-GB,,1,1,1,4.4.0
224,English (en-GB),language,en-GB,,3,1,1,4.4.0
225,com_quix,component,com_quix,,1,1,0,4.4.3
226,mod_quix_menu,module,mod_quix_menu,,1,1,0,4.4.3
227,mod_quix_info,module,mod_quix_info,,1,1,0,4.4.3
228,mod_quix,module,mod_quix,,0,1,0,4.4.3
230,Content - Quix Content Plugin,plugin,quix,content,0,1,0,4.3.1
231,System - Quix System Plugin,plugin,quix,system,0,1,0,4.4.3
232,plg_finder_quix,plugin,quix,finder,0,1,0,4.3.1
233,Editors Button - Quix editors-xtd Plugin,plugin,quix,editors-xtd,0,1,0,4.4.3
234,plg_quickicon_quix,plugin,quix,quickicon,0,1,0,4.4.3
235,System - SEO Site Attributes for Joomla,plugin,seositeattributes,system,0,1,0,4.3.1
236,Quix - Builder Elements,plugin,content,quix,0,1,0,4.3.1
237,Atom,template,atom,,0,1,0,1.0.0
238,com_jmedia,component,com_jmedia,,1,1,0,##JMEDIA_VERSION##
240,plg_system_jmedia,plugin,jmedia,system,0,1,0,1.0.0
241,mod_jmediagallery,module,mod_jmediagallery,,0,1,0,1.0.0
242,mod_jmediaicons,module,mod_jmediaicons,,1,1,0,1.0.0
243,pkg_jmedia,package,pkg_jmedia,,0,1,0,1.4.4
244,pkg_quix,package,pkg_quix,,0,1,0,4.4.3
246,System - Helix Ultimate Framework,plugin,helixultimate,system,0,1,0,2.0.15
249,com_akeebabackup,component,com_akeebabackup,,1,1,0,9.8.1
250,PLG_QUICKICON_AKEEBABACKUP,plugin,akeebabackup,quickicon,0,1,0,9.8.1
